S.No.,Chapter / Section / Heading,Description of Service,CGST Rate (%),SGST/UTGST Rate (%),IGST Rate (%),Condition
9,Heading 9965 (Goods transport services),(iii)(a) Services of Goods Transport Agency (GTA) in relation to transportation of goods (including used household goods for personal use) supplied by a GTA where GTA does not exercise the option to itself pay GST on the services supplied by it.,2.5,2.5,5,The credit of input tax charged on goods and services used in supplying the service has not been taken [Please refer to Explanation no. (iv)]
9,Heading 9965 (Goods transport services),(iii)(b) Services of GTA where GTA exercises the option to itself pay GST on services supplied by it.,2.5 or 6,2.5 or 6,5 or 12,"(1) In respect of supplies on which GTA pays tax at the rate of 2.5%, GTA shall not take credit of input tax charged on goods and services used in supplying the service. (2) Option by GTA to itself pay GST during a Financial Year shall be exercised by making a declaration in Annexure V on or before the 15th March of the preceding Financial Year."
9,Heading 9965 (Goods transport services),"(iv) Transport of goods by air (other than the services specified at item no (iii)) — CGST rate not specified, only IGST applicable.",,6,12,-
9,Heading 9965 (Goods transport services),"(v) Transportation of natural gas, petroleum crude, motor spirit (petrol), high speed diesel or aviation turbine fuel through pipeline.",2.5,2.5,5,Credit of input tax charged on goods and services used in supplying the service has not been taken [Please refer to Explanation no. (iv)]
9,Heading 9965 (Goods transport services),(vi) Multimodal transportation of goods (carriage of goods by at least two different modes of transport from place of acceptance to place of delivery by a multimodal transporter). Does not apply to supply of service other than transport of goods from one place in India to another.,6,6,12,-
9,Heading 9965 (Goods transport services),(via) Transport of goods by ropeways.,2.5,2.5,5,The credit of input tax charged on goods used in supplying the service has not been taken [Please refer to Explanation no. (iv)]
9,Heading 9965 (Goods transport services),"(vii) Goods transport services other than (i), (ii), (iii), (iv), (v), (vi) and (via) above.",9,9,18,-
10,Heading 9966 (Rental services of transport vehicles with operators),(i) Renting of any motor vehicle designed to carry passengers where the cost of fuel is included in the consideration charged from the service recipient.,2.5,2.5,5,"Credit of input tax charged on goods and services used in supplying the service, other than input tax credit of input service in the same line of business (i.e. service procured from another service provider of transporting passengers in a motor vehicle or renting of a motor vehicle), has not been taken [Please refer to Explanation no. (iv)]"
10,Heading 9966 (Rental services of transport vehicles with operators),(ia) Renting of goods carriage where the cost of fuel is included in the consideration charged from the service recipient.,6,6,12,
10,Heading 9966 (Rental services of transport vehicles with operators),(ii) Time charter of vessels for transport of goods.,2.5,2.5,5,"Credit of input tax charged on goods (other than on ships, vessels including bulk carriers and tankers) has not been taken [Please refer to Explanation no. (iv)]"
